state,raw_name,norm_name
CA,Digital Viking Media Inc,digital viking media
CA,Disqus,disqus
CA,Innovation Brands Corp,innovation brands
CA,"DonorBase, Inc.",donorbase
CA,DonorBureau LLC,donorbureau
CA,Dresden Direct inc.,dresden direct
CA,"NetWise Data, LLC",netwise data
CA,Dun and Bradstreet Inc.,dun and bradstreet
CA,"Lightcast, LLC",lightcast
CA,"Endgame Labs, Inc.",endgame labs
CA,Enlyft Inc.,enlyft
CA,"Vertical Int, Inc.",vertical int
CA,"ListsOnline.com, Inc.",listsonline com
CA,"EverView HoldCo, Inc",everview holdco
CA,Exa Labs Inc.,exa labs
CA,"Exact Opco, LLC",exact opco
CA,"Consumerbase, LLC",consumerbase
CA,"BuyersRoad, Inc",buyersroad
CA,Explorium Inc.,explorium
CA,Fifty Technology Ltd,fifty technology
CA,"Peoplefinders, LLC",peoplefinders
CA,"AdvisorTarget, LLC",advisortarget
CA,"First Direct, Inc.",first direct
CA,First Orion Corp,first orion
CA,"Home Contractors Review, LLC",home contractors review
CA,"Focus USA, Inc.",focus usa
CA,DealerDirect LLC,dealerdirect
CA,"FourthWall Media, Inc.",fourthwall media
CA,J2 Martech Corp,j2 martech
CA,"Randall-Reilly, LLC",randall reilly
CA,Virtual Marketing LLC,virtual marketing
CA,LeadCrunch,leadcrunch
CA,"Great Lakes List, Inc.",great lakes list
CA,"xAd, Inc.",xad
CA,Healthcare Inc,healthcare
CA,HealthLink Dimensions,healthlink dimensions
CA,Heartbeat.AI Inc,heartbeat ai
CA,Carry Technologies Inc.,carry technologies
CA,"HireTeamMate, Inc.",hireteammate
CA,ID5 Technology Ltd,id5 technology
CA,"Integrated Direct Marketing, LLC",integrated direct marketing
CA,illumin Inc.,illumin
CA,"Inbound Insight, LLC",inbound insight
CA,"TechTarget, Inc",techtarget
CA,"InfoPay, Inc",infopay
CA,Lead Intelligence Inc.,lead intelligence
CA,"InMarket Media, LLC",inmarket media
CA,Instant Checkmate LLC,instant checkmate
CA,"Foo Monk, LLC",foo monk
CA,"Intelius, LLC",intelius
CA,JDM LIST SERVICES,jdm list services
CA,"JMR Media Consulting, Inc.",jmr media consulting
CA,"Intalytics, Inc.",intalytics
CA,KB Synergy Inc,kb synergy
CA,Key Marketing Advantage,key marketing advantage
CA,Scalable Commerce LLC,scalable commerce
CA,iWave Information Systems,iwave information systems
CA,"Komodo Health, Inc.",komodo health
CA,Kontext Data,kontext data
CA,"Labels & Lists, Inc",labels lists
CA,Lead Me Media LLC,lead me media
CA,Lead411 Corporation,lead411
CA,"Property Reach, L.P.",property reach l p
CA,RELX Inc.,relx
CA,"Blue Hill Marketing Solutions, Inc",blue hill marketing solutions
CA,"LightBox Parent, L.P.",lightbox parent l p
CA,Nachal Inc.,nachal
CA,"LionShare Marketing, Inc",lionshare marketing
CA,LoopMe Limited,loopme
CA,"Lusha Systems, Inc",lusha systems
CA,"M&R Strategic Services, Inc.",m r strategic services
CA,"Madhive, Inc.",madhive
CA,"Infinite Media Concepts, Inc.",infinite media concepts
CA,"MaxMind, Inc.",maxmind
CA,"MedPro Systems, LLC",medpro systems
CA,Melissa Data Corporation,melissa data
CA,Milestone Marketing Solutions,milestone marketing solutions
CA,Minerva BI Inc,minerva bi
CA,Anne Lewis Strategies LLC,anne lewis strategies
CA,Online Media Group Inc.,online media group
CA,MobileFuse LLC,mobilefuse
CA,"Mobilewalla, Inc.",mobilewalla
CA,ModFx Labs Pvt Ltd,modfx labs pvt
CA,Modigie Inc,modigie
CA,"Ownco, LLC",ownco
CA,"Apollo Interactive, LLC",apollo interactive
CA,"MULTIMEDIA LISTS, INC.",multimedia lists
CA,Definitive Healthcare LLC,definitive healthcare
CA,"NextRoll, Inc.",nextroll
CA,"NFocus Consulting, Inc.",nfocus consulting
CA,"eXelate, Inc.",exelate
CA,"The Nielsen Company, LLC",the nielsen company
CA,"Consumer Canvas, LLC",consumer canvas
